,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,roledepartament,remotework
0,52,no,non-travel,2015.7222222222224,,6,3,,1,1,M,,3,5,research director,3,,16280.83,42330.17,7,no,13,3.0,3,full time,0,,5,3.0,20,,15,15,1972,195370.0,,
1,53,no,non-travel,2063.3888888888887,,1,4,life sciences,2,3,M,,2,5,manager,3,,16665.83,43331.17,0,,14,3.0,1,,1,34.0,5,3.0,33,,11,9,1971,199990.0,,si
2,43,no,travel_rarely,1984.253968253968,research & development,4,2,technical degree,3,3,M,,3,5,manager,4,married,16026.67,41669.33,1,no,11,3.0,4,,0,22.0,3,,22,,11,15,1981,192320.0,manager  -  research & development,si
3,48,no,travel_rarely,1771.4047619047622,,2,4,medical,4,1,F,,3,4,research director,3,married,14307.5,37199.5,3,,19,3.0,2,full time,2,,2,,20,,5,6,1976,171690.0,,
4,47,no,non-travel,1582.7713464696226,,3,3,technical degree,5,1,F,,4,4,sales executive,1,divorced,12783.92,33238.2,2,no,12,3.0,4,,1,,5,3.0,19,,2,8,1977,153407.04,,no
5,49,no,non-travel,1771.920634920635,research & development,22,3,medical,6,4,F,,3,4,manager,4,,14311.67,37210.33,3,no,11,3.0,2,,1,,3,3.0,22,,4,7,1975,171740.04,manager  -  research & development,
6,60,no,non-travel,1032.4872861766066,,25,3,life sciences,7,1,F,,3,3,sales executive,1,,8339.32,21682.23,7,,11,3.0,4,part time,0,28.0,3,2.0,21,,7,9,1964,100071.84,,
7,43,no,travel_rarely,556.2566609977324,,1,1,,8,2,M,69.53208262471655,3,2,sales executive,3,married,4492.84,11681.39,1,no,25,4.0,3,part time,0,20.0,3,3.0,20,,11,6,1981,53914.11,,no
8,42,no,non-travel,1712.1825396825398,,2,5,,9,2,F,,3,4,manager,1,married,13829.17,35955.83,7,no,16,3.0,2,full time,1,22.0,2,3.0,18,,11,8,1982,165950.0,,
9,42,no,travel_frequently,1973.9841269841268,,9,3,,10,1,M,,3,5,research director,3,,15943.72,41453.67,2,no,17,3.0,2,,1,21.0,2,4.0,18,,0,11,1982,191324.64,,no
10,42,no,non-travel,2060.7063492063494,,7,1,,11,2,F,,1,5,research director,3,,16644.17,43274.83,1,no,22,4.0,2,full time,2,,3,3.0,21,,5,10,1982,199730.0,,no
11,57,no,travel_rarely,1382.7460317460318,,23,3,life sciences,12,4,M,172.84325396825398,3,4,manufacturing director,2,married,11168.33,29037.67,4,yes,12,,1,full time,1,33.0,0,3.0,19,,15,9,1967,134020.0,,
12,39,no,non-travel,1362.5238095238096,,10,3,medical,13,2,F,,1,3,research director,3,married,11005.0,28613.0,3,no,12,3.0,1,full time,1,,3,3.0,18,,1,11,1985,132060.0,,si
13,42,yes,travel_rarely,2016.547619047619,,12,3,,14,2,F,,3,5,research director,3,married,16287.5,42347.5,1,no,12,3.0,4,full time,0,,0,3.0,22,,15,8,1982,195450.0,,
14,56,no,non-travel,1973.9841269841268,,14,4,medical,15,3,M,,4,5,research director,2,single,15943.72,41453.67,8,no,11,3.0,4,,0,,3,3.0,24,,2,15,1968,191324.64,,
15,41,no,travel_rarely,1861.373015873016,,2,4,,16,3,F,,3,5,manager,3,,15034.17,39088.83,0,no,14,3.0,4,full time,0,,2,3.0,20,,1,12,1983,180410.0,,no
16,59,yes,travel_rarely,1985.6984126984123,,2,4,,17,4,M,,3,5,research director,2,single,16038.33,41699.67,7,yes,12,3.0,4,full time,0,40.0,2,3.0,31,,13,8,1965,192460.0,,no
17,47,no,travel_rarely,1582.7713464696226,,2,3,,18,3,F,,3,4,manager,1,,12783.92,33238.2,8,,23,4.0,1,,0,28.0,2,3.0,26,,15,9,1977,153407.04,,
18,36,no,non-travel,556.2566609977324,,13,5,life sciences,19,2,M,,4,2,research scientist,1,married,4492.84,11681.39,1,,11,3.0,4,,0,,2,3.0,16,,1,10,1988,53914.08,,
19,41,no,travel_rarely,1032.4872861766066,,15,3,life sciences,20,1,F,,2,3,manufacturing director,3,,8339.32,21682.23,1,,13,3.0,4,,2,18.0,2,,18,,14,12,1983,100071.84,,
20,46,no,non-travel,1108.920634920635,research & development,1,1,,21,3,M,,2,3,healthcare representative,3,,8956.67,23287.33,3,,23,4.0,4,full time,1,25.0,3,2.0,23,,14,4,1978,107480.0,healthcare representative  -  research & development,
21,34,no,non-travel,1032.4872861766066,,1,2,life sciences,22,1,F,,3,3,research director,4,single,8339.32,21682.23,1,yes,12,3.0,3,part time,0,15.0,1,3.0,15,,8,12,1990,100071.84,,
22,37,no,non-travel,1032.4872861766066,,8,3,,23,3,F,,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,,13,,2,,3,17.0,2,3.0,17,,12,8,1987,100071.84,,si
23,48,no,non-travel,1728.3809523809523,,2,2,other,24,3,F,216.0476190476191,3,4,manager,4,married,13960.0,36296.0,1,,11,3.0,3,full time,1,,3,2.0,26,,3,0,1976,167520.0,,
24,37,no,travel_rarely,639.7857142857143,,42,2,life sciences,25,4,M,79.97321428571429,3,2,sales executive,4,,5167.5,13435.5,1,,14,3.0,4,full time,1,18.0,1,,18,,4,11,1987,62010.0,,
25,36,no,non-travel,1032.4872861766066,,9,3,life sciences,26,4,F,129.06091077207583,2,3,manufacturing director,3,married,8339.32,21682.23,1,yes,20,4.0,2,part time,1,17.0,2,3.0,17,,5,15,1988,100071.84,,
26,53,yes,non-travel,2047.5,,2,1,,27,1,F,,1,5,manager,4,married,16537.5,42997.5,1,no,15,3.0,4,full time,1,33.0,3,3.0,32,,6,9,1971,198450.0,,si
27,37,no,non-travel,556.2566609977324,,2,4,life sciences,28,3,F,,3,2,manufacturing director,2,single,4492.84,11681.39,9,yes,11,3.0,4,,0,18.0,2,3.0,16,,5,12,1987,53914.11,,no
28,34,no,travel_rarely,556.2566609977324,,28,4,life sciences,29,2,M,69.53208262471655,3,2,laboratory technician,3,married,4492.84,11681.39,1,,12,3.0,2,part time,1,15.0,3,3.0,15,,5,7,1990,53914.11,,
29,35,no,non-travel,412.8015873015873,sales,10,3,life sciences,30,4,M,,3,2,sales executive,3,,3334.17,8668.83,1,yes,14,3.0,3,part time,1,15.0,3,3.0,15,,0,7,1989,40010.0,sales executive  -  sales,si
30,42,no,non-travel,1077.8650793650793,sales,37,1,,31,3,F,,3,3,sales executive,3,divorced,8705.83,22635.17,0,,13,3.0,4,full time,1,,3,4.0,22,,13,5,1982,104470.0,sales executive  -  sales,
31,48,no,non-travel,1032.4872861766066,research & development,25,3,medical,32,1,M,,3,3,healthcare representative,3,,8339.32,21682.23,2,,23,4.0,2,,0,25.0,3,3.0,17,,12,11,1976,100071.84,healthcare representative  -  research & development,
32,54,no,travel_rarely,1973.9841269841268,,5,3,,33,3,F,246.74801587301585,3,5,manager,3,,15943.72,41453.67,4,,11,3.0,4,full time,1,26.0,3,2.0,14,,4,8,1970,191324.62,,
33,36,no,non-travel,556.2566609977324,,1,4,marketing,34,3,M,69.53208262471655,2,2,sales executive,1,single,4492.84,11681.39,0,no,14,,2,part time,0,16.0,2,3.0,15,,2,8,1988,53914.11,,no
34,35,no,travel_rarely,556.2566609977324,,6,4,other,35,1,F,,3,2,research scientist,3,single,4492.84,11681.39,1,,14,3.0,3,,0,16.0,3,3.0,16,,2,10,1989,53914.08,,
35,47,no,travel_rarely,1032.4872861766066,,1,2,,36,2,F,,3,3,sales executive,1,divorced,8339.32,21682.23,1,no,25,4.0,3,part time,3,24.0,2,3.0,24,,15,7,1977,100071.84,,
36,44,no,non-travel,1657.3968253968255,,16,3,,37,4,F,207.1746031746032,3,4,manager,4,married,13386.67,34805.33,5,,22,4.0,3,full time,1,22.0,3,3.0,17,,1,9,1980,160640.0,,si
37,37,no,non-travel,331.1904761904762,research & development,6,3,life sciences,38,4,M,,3,1,laboratory technician,4,married,2675.0,6955.0,0,,11,3.0,3,full time,1,16.0,4,3.0,15,,10,11,1987,32100.0,laboratory technician  -  research & development,
38,61,no,travel_frequently,1059.1904761904764,,28,3,,39,3,F,,2,3,sales executive,1,married,8555.0,22243.0,4,no,19,3.0,4,full time,0,22.0,5,4.0,18,13.0,13,11,1963,102660.0,,si
39,41,no,travel_frequently,1080.7539682539684,,5,4,,40,4,M,,2,3,sales executive,1,married,8729.17,22695.83,5,yes,21,4.0,3,full time,1,20.0,2,3.0,18,,1,12,1983,104750.0,,no
40,33,no,travel_rarely,635.7619047619048,,4,3,,41,3,F,,2,2,manufacturing director,3,married,5135.0,13351.0,1,no,12,3.0,3,full time,1,14.0,3,3.0,14,,6,8,1991,61620.0,,no
41,42,no,travel_rarely,487.0873015873016,,35,3,,42,3,M,60.8859126984127,3,1,laboratory technician,1,single,3934.17,10228.83,2,yes,13,,3,full time,0,20.0,3,3.0,18,,2,17,1982,47210.0,,si
42,54,no,non-travel,1582.7713464696226,,2,2,medical,43,3,M,,3,4,manager,3,divorced,12783.92,33238.2,6,no,13,3.0,3,full time,1,22.0,3,4.0,17,,15,2,1970,153407.07,,
43,37,yes,travel_rarely,290.03550973654063,,16,4,,44,3,F,36.25443871706758,4,1,laboratory technician,1,single,2342.59,6090.75,1,,16,3.0,3,part time,0,18.0,1,3.0,17,,15,14,1987,28111.13,,
44,47,no,non-travel,476.1507936507937,,8,4,life sciences,45,4,F,,2,2,research scientist,1,divorced,3845.83,9999.17,8,yes,23,4.0,1,part time,3,,2,3.0,16,,1,7,1977,46150.0,,no
45,39,no,travel_rarely,556.2566609977324,,1,4,,46,4,M,,3,2,sales executive,2,married,4492.84,11681.39,0,no,15,3.0,1,,2,16.0,3,,15,,5,8,1985,53914.11,,si
46,52,no,non-travel,1032.4872861766066,,1,4,,47,1,F,,2,3,healthcare representative,1,single,8339.32,21682.23,3,,20,4.0,3,part time,0,23.0,1,2.0,13,,12,8,1972,100071.84,,
47,44,no,non-travel,1749.7380952380954,,26,2,,48,3,M,,3,4,manager,4,married,14132.5,36744.5,1,yes,12,3.0,4,full time,2,25.0,3,4.0,25,,4,12,1980,169590.0,,si
48,38,no,non-travel,290.03550973654063,,1,3,life sciences,49,4,F,,3,1,research scientist,4,single,2342.59,6090.75,1,no,12,3.0,2,part time,0,,3,3.0,17,,5,7,1986,28111.13,,
49,33,no,travel_rarely,556.2566609977324,,8,2,technical degree,50,3,F,,2,2,sales executive,2,married,4492.84,11681.39,1,yes,11,3.0,4,part time,0,,2,3.0,13,12.0,11,9,1991,53914.11,,
50,39,no,non-travel,1032.4872861766066,,1,3,,51,4,F,,3,3,research director,1,married,8339.32,21682.23,1,,13,3.0,2,part time,1,15.0,3,3.0,15,,5,11,1985,100071.84,,
51,47,no,non-travel,1582.7713464696226,,3,3,life sciences,52,3,F,,3,4,manager,2,,12783.92,33238.2,8,no,12,3.0,4,full time,1,23.0,2,4.0,13,,5,1,1977,153407.07,,
52,36,yes,travel_rarely,1063.3174603174605,,10,3,medical,53,4,M,,2,3,sales executive,1,married,8588.33,22329.67,9,,17,3.0,3,,0,15.0,3,,13,,6,0,1988,103059.96,,no
53,44,no,non-travel,1973.9841269841268,,6,3,medical,54,1,F,,2,5,manager,3,married,15943.72,41453.67,7,no,13,3.0,4,,0,21.0,2,3.0,16,,6,14,1980,191324.64,,
54,57,no,non-travel,556.2566609977324,,1,4,life sciences,55,3,M,,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,no,21,,1,,1,,2,2.0,13,,1,9,1967,53914.08,,
55,37,no,non-travel,557.7619047619048,,15,4,marketing,56,4,M,,1,2,sales executive,4,divorced,4505.0,11713.0,1,no,24,4.0,1,full time,1,,4,2.0,15,,11,11,1987,54060.0,,si
56,39,no,non-travel,556.2566609977324,,6,3,medical,57,2,F,,1,2,research scientist,4,,4492.84,11681.39,7,,12,3.0,4,part time,3,17.0,3,3.0,13,,1,9,1985,53914.11,,
57,50,no,non-travel,556.2566609977324,,26,4,medical,58,3,F,69.53208262471655,3,2,manufacturing director,1,,4492.84,11681.39,1,no,14,3.0,3,part time,0,16.0,2,2.0,15,,5,11,1974,53914.11,,no
58,40,no,travel_rarely,608.936507936508,,4,4,life sciences,59,4,F,,2,2,sales executive,3,married,4918.33,12787.67,4,,14,3.0,3,full time,1,17.0,1,4.0,15,,5,9,1984,59020.0,,
59,41,no,non-travel,1119.9603174603176,,4,4,,60,3,M,139.9950396825397,2,3,sales executive,4,married,9045.83,23519.17,7,no,11,,1,full time,1,15.0,2,2.0,12,,2,11,1983,108550.0,,
60,37,no,non-travel,610.1746031746031,,5,2,,61,4,M,,3,2,laboratory technician,2,single,4928.33,12813.67,8,no,16,3.0,4,full time,0,16.0,3,4.0,13,,3,7,1987,59140.0,,si
61,38,no,non-travel,556.2566609977324,,25,5,,62,2,F,,3,2,research scientist,3,married,4492.84,11681.39,3,yes,15,3.0,1,,2,15.0,2,3.0,13,,10,7,1986,53914.11,,no
